Date,Open,High,Low,Close,Volume
2023-08-23,73.0300,73.6200,72.9706,73.5800,2362483
2023-08-22,73.6000,73.6898,72.8900,72.9600,2975215
2023-08-21,73.6000,73.7400,73.0525,73.5200,2360134
2023-08-18,73.0100,73.7100,72.9100,73.5600,2618012
2023-08-17,73.6000,73.9800,73.3200,73.3800,2422113
2023-08-16,73.5500,73.9200,73.2119,73.2700,2430047
2023-08-15,74.0300,74.0300,73.4431,73.5700,2819107
2023-08-14,74.4500,74.5300,74.2000,74.4500,2206796
2023-08-11,74.2300,74.6500,74.1198,74.5700,1732151
2023-08-10,74.6500,75.1500,74.2000,74.3600,2348381
2023-08-09,74.5200,74.7900,74.2300,74.3500,1986731
2023-08-08,74.3600,74.5800,73.8220,74.5400,2433109
2023-08-07,74.3700,74.8700,74.3475,74.8100,2543184
2023-08-04,74.6400,74.9300,74.0600,74.1600,2756331
2023-08-03,74.3300,74.7200,74.1100,74.4600,2699001
2023-08-02,74.8400,74.9600,74.4200,74.5400,3567445
2023-08-01,75.5672,75.6865,75.0334,75.3200,3133155
2023-07-31,75.7400,75.8400,75.3900,75.6600,2560906
2023-07-28,75.5900,75.8700,75.3600,75.6300,2285955
2023-07-27,75.8100,76.0300,75.0650,75.1600,3481036
2023-07-26,75.0300,75.7000,74.9600,75.4700,2601994
2023-07-25,75.4200,75.6300,75.2466,75.3300,3777834
2023-07-24,75.0800,75.5700,75.0500,75.4100,2494019
2023-07-21,75.0100,75.1600,74.7750,74.9700,2627717
2023-07-20,74.4400,74.9450,74.3100,74.8000,2823964
2023-07-19,73.9600,74.5700,73.9600,74.5000,3351711
2023-07-18,73.1200,74.1100,73.1050,73.7800,3130065
2023-07-17,73.1700,73.3700,72.9400,73.1900,3333692
2023-07-14,73.7200,73.7450,73.1729,73.3800,3100685
2023-07-13,73.5800,73.8650,73.5100,73.7800,2998078
2023-07-12,73.7000,73.8950,73.3300,73.4400,2762047
2023-07-11,72.4600,73.2700,72.4600,73.2200,3041052
2023-07-10,71.8200,72.6104,71.8100,72.3800,3054090
2023-07-07,71.7300,72.4599,71.6500,71.8100,2291663
2023-07-06,72.1400,72.1800,71.5450,71.9400,2630541
2023-07-05,72.7000,72.9850,72.4800,72.7300,2508256
2023-07-03,72.5100,73.0700,72.4400,73.0500,1773883
2023-06-30,72.4000,72.7600,72.2537,72.6200,2787417
2023-06-29,71.5200,72.0250,71.4165,72.0100,2798429
2023-06-28,71.5400,71.6100,71.1550,71.5200,2920443
2023-06-27,71.1300,71.7500,71.0126,71.6800,3778734
2023-06-26,70.7100,71.2700,70.6100,71.0700,3247100
2023-06-23,71.1000,71.3600,70.6400,70.7100,3029752
2023-06-22,71.6100,71.6900,71.2300,71.4200,2438808
2023-06-21,71.8300,72.1100,71.4400,71.7300,3012551
2023-06-20,73.0500,73.1000,72.5199,72.6400,3131025
2023-06-16,73.6700,73.8300,73.3052,73.3400,4279624
2023-06-15,72.4500,73.4700,72.4400,73.3600,3729322
2023-06-14,72.7800,72.9001,72.0000,72.4200,3325129
2023-06-13,72.2600,72.7399,72.1100,72.5800,3141593
2023-06-12,71.8500,72.1500,71.6800,72.1300,3012317
2023-06-09,71.8700,72.1000,71.6200,71.7300,3625600
2023-06-08,71.7700,71.9550,71.4619,71.9100,2584030
2023-06-07,71.0100,71.8600,70.8550,71.8000,3206293
2023-06-06,70.6900,71.0400,70.5250,70.9900,2861904
2023-06-05,71.3100,71.3359,70.7200,70.7900,2401302
2023-06-02,70.2100,71.3400,70.2100,71.2400,3245158
2023-06-01,69.7700,70.1090,69.1200,69.8700,3996168
2023-05-31,69.8900,69.9650,69.3819,69.5900,3672289
2023-05-30,70.4900,70.6150,69.9850,70.1700,4324531
2023-05-26,69.8900,70.5401,69.7700,70.4300,4601924
2023-05-25,69.6700,69.8000,69.1100,69.6400,3799488
2023-05-24,70.5000,70.5200,69.8000,69.9100,3123697
2023-05-23,70.5900,71.1800,70.5100,70.5800,3642921
2023-05-22,70.5900,70.8600,70.0900,70.6000,2982250
2023-05-19,70.7800,70.9850,70.3100,70.5900,3270489
2023-05-18,69.8900,70.5900,69.7700,70.5200,3350994
2023-05-17,69.5400,70.2300,69.2800,70.1700,2754337
2023-05-16,70.0100,70.0100,69.1500,69.1800,3166010
2023-05-15,70.1100,70.3000,69.8100,70.2000,2559366
2023-05-12,70.1100,70.2113,69.6301,70.0500,2832656
2023-05-11,69.9800,69.9800,69.4700,69.9100,3369021
2023-05-10,70.8000,70.8301,69.5700,70.2200,3399585
2023-05-09,70.3300,70.5400,70.0750,70.3600,3522242
2023-05-08,71.0200,71.1400,70.4631,70.6200,3581196
2023-05-05,70.5300,71.1150,70.4850,70.9900,3044167
2023-05-04,70.2300,70.2600,69.5200,69.8200,5019938
2023-05-03,71.1600,71.4900,70.4350,70.4800,3873954
2023-05-02,72.2700,72.3500,70.5500,71.1100,4627741
2023-05-01,72.5200,72.9600,72.5200,72.6300,3066907
2023-04-28,71.6200,72.5861,71.6132,72.5700,2941481
2023-04-27,71.1550,71.8714,70.7950,71.8200,3102659
2023-04-26,71.8200,71.8400,70.9700,71.0900,3617072
2023-04-25,72.9200,72.9600,72.1300,72.1600,2756928
2023-04-24,73.1900,73.4100,73.0635,73.3100,2054600
2023-04-21,73.4400,73.4400,72.9039,73.1600,2292302
2023-04-20,73.3100,73.5599,73.0700,73.3100,2458331
2023-04-19,73.6500,73.8700,73.5100,73.7700,2281962
2023-04-18,74.1300,74.2100,73.7000,73.9400,2498396
2023-04-17,73.6000,73.9200,73.4800,73.9200,2480258
2023-04-14,73.7700,74.0800,73.1700,73.5800,2333115
2023-04-13,73.3000,73.8100,72.9100,73.7400,2750907
2023-04-12,73.7800,73.8350,73.0950,73.2300,2628168
2023-04-11,73.4400,73.7800,73.3500,73.5400,2703356
2023-04-10,72.8600,73.2400,72.6505,73.2300,2995832
2023-04-06,73.0300,73.1729,72.8400,72.9600,2519369
2023-04-05,72.8100,73.1650,72.7700,73.0200,2642087
2023-04-04,73.6600,73.6800,72.5201,72.8500,2970417
2023-04-03,73.3100,73.6450,73.1700,73.5600,3306083
2023-03-31,72.5700,73.2050,72.5200,73.1600,2678117
2023-03-30,72.5200,72.6000,72.0200,72.3000,2746103
2023-03-29,71.8300,72.1200,71.6900,72.0900,2711564
2023-03-28,71.1100,71.4900,71.0100,71.2500,3344637
2023-03-27,71.4800,71.5650,70.9200,71.1400,3421299
2023-03-24,69.9400,70.9200,69.6600,70.8400,3776998
2023-03-23,70.6800,71.2199,69.8100,70.2800,4706910
2023-03-22,71.7800,71.9300,70.3200,70.3400,3704338
2023-03-21,72.2800,72.4494,71.8900,72.3300,3090141
2023-03-20,70.9400,71.7650,70.9300,71.5700,3790226
2023-03-17,71.6000,71.6000,70.3000,70.5100,4822051
2023-03-16,70.4700,71.7400,70.0100,71.6500,4241676
2023-03-15,70.5500,70.9700,70.0350,70.9700,6360052
2023-03-14,72.1700,72.1800,70.7201,71.5600,4028636
2023-03-13,70.7900,72.0101,70.5400,70.9300,10916935
2023-03-10,72.6600,73.2300,71.6300,71.9600,5597876
2023-03-09,74.4300,74.4763,72.6900,72.8400,3735837
2023-03-08,74.4800,74.5700,73.8800,74.2400,3039881
2023-03-07,75.5400,75.5800,74.2500,74.3400,2986878
2023-03-06,75.5700,75.8700,75.4040,75.5400,2439017
2023-03-03,75.0900,75.6650,74.7517,75.5700,2730255
2023-03-02,74.2400,74.9300,74.0400,74.7900,2845267
2023-03-01,74.3900,74.6600,74.1100,74.5200,3702696
2023-02-28,74.8800,74.9700,74.5300,74.5500,2814495
2023-02-27,75.3700,75.6000,74.6778,74.8700,3422682
2023-02-24,74.6900,74.9850,74.2700,74.8600,3491879
2023-02-23,75.6300,75.6900,74.6225,75.3700,2926849
2023-02-22,75.6000,75.6835,74.8600,75.1400,2993004
2023-02-21,76.3900,76.4304,75.3300,75.4500,3499254
2023-02-17,76.5700,76.9917,76.3450,76.9100,2488386
2023-02-16,76.7400,77.3704,76.6200,76.7500,2635442
2023-02-15,76.8100,77.3150,76.6400,77.2900,2466517
2023-02-14,77.4500,77.6601,76.6200,77.1400,3391496
2023-02-13,76.9800,77.6589,76.8450,77.6500,2797690
2023-02-10,76.1000,76.8900,76.0200,76.8000,2459125
2023-02-09,77.2500,77.3601,75.8750,76.1000,2932690
2023-02-08,77.0700,77.3200,76.6501,76.7600,3319810
2023-02-07,76.7800,77.5700,76.3300,77.4100,3962783
2023-02-06,77.0010,77.1800,76.7250,77.0100,3150181
2023-02-03,77.5800,77.8500,77.1201,77.4100,3364954
2023-02-02,77.5400,78.1575,77.1863,78.0300,5304363
2023-02-01,76.8400,77.9900,76.1700,77.4700,4553222
2023-01-31,76.2000,77.1100,76.0300,77.1100,5404824
2023-01-30,76.0500,76.6200,75.9650,76.0500,2737380
