Date,Open,High,Low,Close,Volume
2023-08-23,74.1500,75.2500,74.1400,75.0300,1087165
2023-08-22,74.4500,74.4592,73.7500,73.9100,771585
2023-08-21,73.1500,74.0500,73.0200,73.9500,837737
2023-08-18,72.1800,73.0300,72.0408,72.8400,1058852
2023-08-17,73.9300,74.0200,72.7900,72.9200,860004
2023-08-16,74.3200,74.6700,73.7400,73.7700,1090075
2023-08-15,75.0400,75.2202,74.3300,74.4700,665465
2023-08-14,74.1900,75.2400,74.0400,75.2400,903008
2023-08-11,74.1900,74.6500,74.0300,74.3200,1038755
2023-08-10,75.0900,75.7800,74.3750,74.6700,1202454
2023-08-09,75.5400,75.5400,74.3900,74.5200,1169210
2023-08-08,75.4100,75.5000,74.8000,75.4300,769076
2023-08-07,75.5700,75.8000,75.1300,75.8000,771619
2023-08-04,76.0900,76.4450,75.1500,75.2500,926690
2023-08-03,75.3300,75.9700,75.2600,75.5800,985374
2023-08-02,76.7300,76.7300,75.4800,75.8000,1163715
2023-08-01,77.3100,77.5300,77.0500,77.4200,924088
2023-07-31,77.5900,77.7200,77.2559,77.6000,789129
2023-07-28,76.9400,77.5950,76.8600,77.4500,1091531
2023-07-27,77.7900,77.9017,76.0300,76.2600,915947
2023-07-26,76.8400,77.1500,76.3800,76.8400,1965765
2023-07-25,76.6300,77.3299,76.6200,77.0500,1243082
2023-07-24,76.5000,76.7000,76.0900,76.5100,971088
2023-07-21,76.8800,76.9350,76.2120,76.2900,759455
2023-07-20,77.4800,77.7900,76.2800,76.4700,1067513
2023-07-19,78.3300,78.5000,77.7700,78.0200,1516436
2023-07-18,77.2100,78.2417,76.8800,77.9800,1252655
2023-07-17,76.8900,77.4800,76.7700,77.3300,1343946
2023-07-14,76.7400,77.3800,76.5300,76.6700,1078469
2023-07-13,76.0300,76.6200,75.8750,76.4700,1052858
2023-07-12,75.3200,75.6800,74.9700,75.3800,1427546
2023-07-11,74.3000,74.6400,73.9750,74.5700,1097014
2023-07-10,74.0800,74.2300,73.6000,74.1900,917972
2023-07-07,74.3300,74.9800,74.1600,74.1900,694026
2023-07-06,74.2600,74.5301,73.8701,74.4900,819596
2023-07-05,74.6400,75.2201,74.6400,74.9800,769519
2023-07-03,75.0300,75.0902,74.7400,74.9600,1039856
2023-06-30,74.5448,75.1200,74.4812,74.9500,1250906
2023-06-29,73.7800,73.9800,73.5000,73.8500,838285
2023-06-28,73.3100,74.1200,73.2369,73.7600,1018105
2023-06-27,72.8300,73.6500,72.6100,73.4900,871524
2023-06-26,73.2400,73.7207,72.4300,72.4700,873636
2023-06-23,73.2100,73.8000,73.0000,73.3900,754603
2023-06-22,72.9100,73.9800,72.8842,73.9800,1078595
2023-06-21,73.7500,73.8400,72.9400,73.2200,1391316
2023-06-20,73.6700,74.2000,73.3900,74.0600,1056352
2023-06-16,75.1300,75.1300,74.0000,74.0600,1205120
2023-06-15,73.3400,74.8700,73.2600,74.6200,1007019
2023-06-14,73.2800,73.6800,72.6300,73.5700,1157952
2023-06-13,73.3400,73.5200,72.8102,73.3700,1325456
2023-06-12,72.0800,72.8900,71.9250,72.8700,763204
2023-06-09,71.8800,72.4000,71.6014,71.8100,1299239
2023-06-08,70.8200,71.6600,70.7802,71.5600,916981
2023-06-07,72.1100,72.4400,70.7000,70.8100,923765
2023-06-06,71.9000,72.1800,71.6542,72.0500,1546752
2023-06-05,71.8800,72.5500,71.8100,71.9600,1487193
2023-06-02,71.6500,72.1200,71.4247,71.9300,1426218
2023-06-01,70.2300,71.4500,70.0714,71.2400,1129593
2023-05-31,70.2400,70.6400,69.9700,70.2800,867665
2023-05-30,71.1600,71.3700,70.3600,70.5900,1467547
2023-05-26,69.1900,70.5300,69.1700,70.4000,1059228
2023-05-25,68.9700,69.2600,68.5000,69.0100,784724
2023-05-24,67.4800,67.8800,67.2200,67.6000,730686
2023-05-23,68.5500,68.7200,67.7800,67.8600,1085685
2023-05-22,68.6000,69.1450,68.6000,68.9000,1083319
2023-05-19,68.9000,69.0600,68.4890,68.6500,878083
2023-05-18,67.8300,68.8900,67.8300,68.8400,1221977
2023-05-17,67.1500,67.8350,66.9000,67.7700,977364
2023-05-16,66.7700,67.1800,66.7700,66.9200,746908
2023-05-15,66.7800,66.9700,66.4500,66.9500,509788
2023-05-12,67.0500,67.1117,66.2500,66.7000,562803
2023-05-11,66.8000,67.0200,66.4800,66.9000,1282701
2023-05-10,66.5400,66.9201,66.0850,66.7500,1139543
2023-05-09,66.0700,66.3300,65.9900,66.0300,496800
2023-05-08,66.1400,66.4170,65.9500,66.3600,550070
2023-05-05,65.3700,66.3800,65.3700,66.1900,1082554
2023-05-04,64.9600,65.1400,64.6000,64.8000,1172510
2023-05-03,65.4300,66.1000,65.0600,65.0800,960917
2023-05-02,66.0000,66.0000,65.0050,65.3800,1650694
2023-05-01,65.9700,66.3177,65.8850,66.0300,873867
2023-04-28,65.4300,66.0700,65.2800,66.0700,938255
2023-04-27,64.6100,65.6900,64.6100,65.6100,803203
2023-04-26,64.2900,64.5900,63.8392,63.9600,657502
2023-04-25,64.6100,64.7350,63.5700,63.6000,646590
2023-04-24,64.9100,65.2400,64.5050,64.9300,724176
2023-04-21,64.9800,65.1150,64.6400,65.0200,990139
2023-04-20,64.7400,65.4250,64.6900,64.9300,1165726
2023-04-19,64.9700,65.5800,64.8707,65.4200,1345157
2023-04-18,65.7900,65.8600,65.2200,65.4400,1016841
2023-04-17,65.2400,65.4450,64.8900,65.3700,782628
2023-04-14,65.2500,65.7091,64.7900,65.3400,1018491
2023-04-13,64.5800,65.6050,64.5800,65.5600,1334392
2023-04-12,65.0000,65.1400,64.1250,64.2000,1004772
2023-04-11,64.8100,64.8300,64.3900,64.5600,680702
2023-04-10,64.3400,64.8400,63.9300,64.8400,993943
2023-04-06,64.1900,64.9400,63.8400,64.9200,834992
2023-04-05,64.9200,64.9200,64.1250,64.4500,932463
